ID	stn	co	start_dt	duration	number	acc_code
2151	029	005	2002-09-20 11:07:33	00:04:57	7372961	
2152	026	008	2002-09-20 11:11:55	00:00:53	9705501	
2153	022	006	2002-09-20 11:05:14	00:08:41	3347718	
2154	035	005	2002-09-20 11:13:50	00:01:04	9336449	
2155	024	007	2002-09-20 11:14:49	00:00:10	INCOMING	
2156	024	003	2002-09-20 11:16:28	00:00:08	INCOMING	
2157	026	008	2002-09-20 11:13:02	00:03:41	9601858	
2158	035	007	2002-09-20 11:15:01	00:02:54	TRANSFER	
2159	026	008	2002-09-20 11:18:25	00:00:21	INCOMING	
2160	031	008	2002-09-20 11:18:48	00:00:22	TRANSFER	
2161	021	002	2002-09-20 11:18:57	00:00:16	9567675	
2162	026	006	2002-09-20 11:18:56	00:00:22	INCOMING	
2163	025	006	2002-09-20 11:19:20	00:00:52	TRANSFER	
2164	021	002	2002-09-20 11:19:23	00:01:01	9567675	
2165	022	006	2002-09-20 11:22:22	00:00:08	2586807*#110133547	
2166	022	006	2002-09-20 11:22:41	00:01:09	2586807*#110133547	
2167	022	006	2002-09-20 11:24:01	00:00:26	2586807*#110133547	
2168	026	008	2002-09-20 11:24:27	00:00:14	INCOMING	
2169	021	008	2002-09-20 11:24:43	00:01:32	TRANSFER	
2170	022	006	2002-09-20 11:24:38	00:04:21	2586807*#110133547	
2171	029	008	2002-09-20 11:26:17	00:03:45	TRANSFER	
2172	033	005	2002-09-20 11:28:33	00:01:50	4224780	
2173	026	006	2002-09-20 11:29:31	00:01:21	INCOMING	
2174	024	007	2002-09-20 11:29:48	00:01:06	INCOMING	
2175	026	005	2002-09-20 11:30:52	00:00:11	INCOMING	
2176	022	005	2002-09-20 11:31:05	00:00:21	TRANSFER	
2177	024	006	2002-09-20 11:31:00	00:01:09	INCOMING	
2178	022	007	2002-09-20 11:31:50	00:00:22	2619533	
2179	026	001	2002-09-20 11:32:07	00:00:11	INCOMING	
2180	032	001	2002-09-20 11:32:20	00:00:14	TRANSFER	
2181	022	007	2002-09-20 11:32:23	00:00:35	89026787503	
2182	023	008	2002-09-20 11:30:04	00:03:44	TRANSFER	
2183	022	006	2002-09-20 11:33:29	00:00:41		
2184	031	006	2002-09-20 11:34:12	00:00:13	TRANSFER	
2185	035	008	2002-09-20 11:33:50	00:02:03	TRANSFER	
2186	033	006	2002-09-20 11:34:52	00:01:09	4224780	
2187	022	005	2002-09-20 11:34:44	00:01:39	2586807*#110133547	
2188	026	005	2002-09-20 11:37:22	00:00:18	INCOMING	
2189	029	005	2002-09-20 11:37:41	00:01:16	TRANSFER	
2190	021	006	2002-09-20 11:41:08	00:00:13	INCOMING	
2191	033	004	2002-09-20 11:40:52	00:00:49	INCOMING	
2192	026	004	2002-09-20 11:41:43	00:00:13	TRANSFER	
2193	025	007	2002-09-20 11:40:42	00:02:02	2004749	
2194	036	005	2002-09-20 11:38:58	00:05:34	TRANSFER	
2195	029	004	2002-09-20 11:41:59	00:02:56	TRANSFER	
2196	026	008	2002-09-20 11:47:17	00:00:29	INCOMING	
2197	036	004	2002-09-20 11:44:56	00:02:56	TRANSFER	
2198	026	005	2002-09-20 11:49:27	00:00:14	INCOMING	
2199	021	005	2002-09-20 11:49:43	00:00:06	TRANSFER	
2200	031	006	2002-09-20 11:49:17	00:01:44	2812143	
